"H3_c12","H3K18ac_c12","H3K27ac_c12","H3K27me3_c12","H3K36me3_c12","H3K4me1_c12","H3K4me3_c12","H3K9ac_c12","H4K5ac_c12","H4K8ac_c12","input_c12","input_c14a","input_c14c","input_c8","wt_H3","wt_H3K18ac","wt_H3K4me1","wt_ZLD","bcd1","cad1","D1","da2","dl3","ftz3","gt2","h1","hb1","hkb1","kni1","kr1","mad2","med2","prdBQ","prdFQ","run1","shn2","slp1","sna1","tll1","twi1","z2"
22,31,18,30,10,16,63,21,19,9,20,28,31,13,42,52.503,53.04,13.64,0,0,0,0,0,0,0,1.53353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20363
10,25,8,20,0,22,61,15,19,6,20,23,28,11,29.85,38.85,62.22,68.2,0,0,1.36722,2.15378,1.09531,0,0,0,1.28632,0,0,1.43036,0,1.25558,1.14213,1.18973,1.37878,0,1.59756,0,0,1.19347,0
12,25,19,51,25,22,40,15,19,6,19,23,28,8,29.85,44.4,49.98,68.2,0,1.82516,2.0124,2.977,1.54228,0,0,0,1.67381,0,0,1.53187,0,1.27174,1.37042,1.56458,1.68278,0,2.12034,0,0,1.67311,1.08172
11,25,19,30,37,24,21,14,16,9,19,23,20,10,28.9,44.4,55.284,81.22,0,2.29281,2.22668,2.09895,2.33555,0,2.04933,1.45268,1.5298,2.13664,0,1.76186,1.60179,1.94313,1.28147,1.42769,1.63945,0,1.62654,0,0,1.81651,1.23472
17,14,23,26,50,16,28,20,14,7,19,23,29,10,36.65,46.62,61.2,124,0,0,1.44228,2.19061,1.69265,0,0,0,0,0,0,1.45624,0,1.44255,0,0,0,0,0,0,0,1.29024,0
10,27,12,51,25,9,40,19,19,6,25,24,28,11,23.4,51.06,49.776,38.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08241,0
11,20,30,80,55,19,49,11,16,9,23,20,21,12,26.25,51.06,31.62,64.48,0,0,0,0,0,0,0,0,0,0,0,1.28054,0,0,0,0,0,0,0,0,0,0,0
15,25,36,80,41,19,49,10,18,5,17,27,24,13,35.75,57.72,68.34,76.88,0,0,1.16526,1.3444,1.10799,0,0,0,0,0,0,1.32417,0,0,0,0,0,0,0,0,0,0,0
15,16,25,36,23,20,75,13,16,6,17,23,19,14,31.15,71.04,62.22,105.4,0,0,0,0,1.05153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,13,17,16,18,26,19,10,7,18,15,29,8,12.7,58.83,24.48,52.328,0,1.86932,2.26584,1.7262,2.20179,1.51031,1.94347,1.33805,1.25054,1.618,0,1.23615,1.36255,2.24893,1.24171,1.20021,1.39645,0,0,0,1.84968,2.63152,1.11489
13,18,17,32,18,22,33,16,17,10,21,23,30,9,25.85,58.83,108.324,93.62,0,2.22617,4.14244,2.86054,5.23729,1.67752,1.76348,1.70187,1.45892,2.63476,0,1.36853,1.51911,3.32084,1.71198,1.65703,1.85848,0,0,0,2.60026,4.7765,1.56601
7,5,4,1,7,6,0,3,8,4,17,22,17,6,9.05,15.54,16.32,0,0,0,0,0,1.08016,0,0,0,0,0,0,0,0,0,0,0,1.50005,0,0,0,0,0,1.21525
13,9,20,47,23,26,54,13,17,6,19,19,23,7,27.3,44.4,56.1,39.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22899,0,0,0,0,0,0,1.23666
8,24,18,28,16,19,21,8,16,7,22,22,29,10,24.4,62.16,26.52,91.45,0,1.70015,1.62237,2.15358,1.9807,0,0,0,0,0,0,1.30517,0,1.55797,1.23316,1.14638,0,0,0,0,0,1.6285,1.21622
14,9,31,25,9,24,66,9,20,5,24,19,25,10,41.6,69.93,74.46,107.26,0,0,0,0,0,0,0,0,0,0,0,0,1.31736,0,0,0,0,0,0,0,0,0,0
17,20,20,46,16,11,49,11,12,5,18,16,20,11,31.2,36.63,40.8,138.88,0,0,0,0,0,0,0,0,0,0,0,1.30125,1.64066,0,0,0,1.4011,0,0,0,1.95784,0,0
15,10,20,48,33,33,68,23,12,6,22,25,27,12,35.7,24.42,52.02,60.76,1.33008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,21,29,26,38,33,61,13,14,5,21,20,23,11,35.95,37.74,42.84,44.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,19,25,23,62,12,49,12,16,7,26,25,23,12,33.8,74.148,97.512,85.56,1.65536,1.41965,2.4526,1.54916,4.10122,0,0,0,1.70684,1.61759,0,0,1.32166,1.97801,1.26973,1.17836,0,2.1677,1.40562,0,1.98913,1.85356,1.48757
14,25,20,21,60,16,44,24,21,11,20,31,20,13,30.55,127.65,110.16,120.9,1.48226,2.98979,4.43762,2.74359,7.36055,0,3.46627,2.13356,2.02049,3.61085,0,1.44853,1.47014,4.59042,1.84162,1.66595,2.16116,1.94851,1.95049,0,2.44793,4.33438,1.62102
10,22,10,22,4,26,59,12,11,12,24,19,21,11,32.3,76.59,108.12,111.6,0,2.66938,2.94891,2.36456,3.35803,0,2.46785,1.70016,1.22796,2.31634,0,2.57381,0,2.57645,1.73766,1.84995,1.48362,0,0,1.3494,0,2.56327,1.31397
9,9,24,11,20,3,21,8,9,4,15,15,19,9,12.8,55.944,44.88,47.12,0,2.47281,2.45283,2.06223,2.96994,0,0,0,1.28334,1.80269,0,1.26574,0,2.20767,1.30447,1.33739,0,0,0,0,0,1.79129,1.13473
13,12,24,21,33,9,59,23,13,8,17,25,22,9,35.05,43.179,79.56,65.844,1.26594,1.75225,1.86686,2.07649,2.96994,0,0,0,1.34105,1.50433,0,0,0,1.61697,0,1.1922,0,2.1501,0,0,0,1.35264,0
18,31,6,10,18,14,61,10,19,5,24,24,25,13,37.85,38.184,63.24,48.98,0,0,0,0,1.08286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,26,18,24,11,85,9,15,7,17,22,25,8,24.8,38.85,31.62,91.76,0,0,0,0,1.08286,0,0,0,0,0,0,0,0,0,0,0,0,2.28651,0,0,0,0,0
16,26,18,15,40,12,21,10,14,5,21,22,20,10,24.65,37.74,47.94,66.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,14,39,40,10,35,10,13,7,24,26,23,12,24.65,38.85,36.822,27.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,20,31,38,12,35,9,18,5,24,26,24,9,27.55,46.62,34.68,82.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,14,20,32,33,14,50,12,18,6,19,26,20,9,22.4,39.96,15.3,82.46,1.88848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14738,0,0,0,0,0
11,23,25,20,26,11,9,9,17,8,26,23,21,12,21.1,57.72,31.62,40.3,1.24076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44013,0,0,0,0,0
5,23,10,29,16,6,28,7,7,9,16,13,20,6,12.5,17.76,53.04,40.92,0,2.08694,2.2211,1.18649,2.31862,0,0,1.38477,0,2.46077,0,0,0,1.75676,1.19892,0,0,0,1.82841,0,2.0288,1.35528,1.20675
10,19,25,25,10,19,56,8,16,11,22,30,27,10,21.55,35.52,40.8,77.5,2.52626,1.79612,2.25599,1.20587,2.626,0,0,1.62582,0,2.8756,0,0,0,1.86892,1.18071,0,0,2.83535,1.72456,0,2.03859,1.22658,1.38999
10,0,27,28,9,4,4,6,17,5,13,11,16,7,14.65,43.29,55.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,17,29,30,20,15,125,8,18,7,20,20,23,11,25.4,42.957,42.84,0,0,0,0,1.42664,1.08493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19872,0
16,20,12,11,24,9,49,17,13,4,17,28,27,13,36.85,68.82,73.44,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11556,0
14,20,17,6,19,11,95,17,14,5,17,28,19,13,36.85,68.82,29.682,27.28,0,0,0,0,0,0,0,0,0,0,0,1.35178,0,0,0,0,0,0,0,0,0,1.23121,0
17,13,20,23,24,17,125,9,17,8,24,25,25,11,21.35,66.6,44.88,67.704,0,0,0,0,0,0,0,0,0,0,0,1.44699,0,0,0,0,0,0,0,0,0,0,1.27619
14,16,8,18,11,20,30,13,19,6,26,19,23,9,22.8,58.83,44.88,114.7,0,0,1.27455,0,1.11739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12268
13,15,7,3,33,5,0,5,26,5,25,25,19,11,22.95,28.86,31.62,43.4,0,0,0,1.25247,0,0,0,0,0,0,0,0,0,0,1.21496,0,0,0,0,0,0,0,0
14,11,27,16,10,12,42,13,19,4,17,24,19,8,21.4,24.42,51,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,18,31,29,45,13,78,17,17,6,24,26,28,11,33.05,59.94,79.05,95.542,0,0,0,0,1.07853,0,0,0,0,0,0,1.87353,0,1.55087,0,0,0,0,0,0,0,1.19059,0
20,18,31,42,26,14,42,17,19,7,18,26,25,11,30.85,56.61,91.8,67.704,0,0,0,1.2584,0,0,0,0,0,0,0,0,1.38961,0,0,0,0,0,0,0,0,0,0
12,16,20,45,49,19,16,7,19,5,19,17,20,10,38.05,50.172,75.48,47.244,0,0,1.33619,1.25994,0,0,0,0,0,0,0,0,1.31356,1.3009,0,0,0,0,0,0,0,0,0
14,30,13,20,20,27,49,9,17,5,19,21,26,10,38.05,62.16,82.008,43.4,0,0,1.13894,1.40672,0,0,0,0,0,0,0,0,0,1.16321,0,0,0,0,0,0,0,0,0
14,13,14,22,9,27,89,19,17,6,19,17,21,9,31.7,62.16,61.2,52.7,0,0,0,1.16345,1.08058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,12,10,24,10,11,40,13,17,5,18,16,20,7,28.55,27.75,26.52,76.88,0,0,0,0,1.08058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15661,0
15,16,17,7,14,27,21,10,13,6,19,19,22,12,39.35,27.75,36.72,76.88,0,0,1.02151,1.39455,1.12311,0,0,0,0,0,0,0,0,1.35206,0,0,0,0,0,0,0,1.34954,0
15,15,27,12,12,27,68,10,13,6,27,19,22,13,39.35,37.74,68.34,89.9,0,0,1.70985,1.99577,1.89053,0,0,0,0,0,0,1.28171,0,1.4991,0,0,0,0,0,0,0,2.2724,1.32445
14,13,10,16,10,6,40,10,15,6,23,19,19,8,29.3,52.17,38.76,43.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,11,25,16,13,26,68,10,16,6,21,16,23,8,22.2,52.17,89.556,58.9,0,0,0,1.20948,1.05435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,11,19,21,73,12,40,14,24,6,25,21,23,12,36.4,56.61,53.04,68.82,0,0,0,0,1.07361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,18,23,21,30,13,60,8,22,6,16,18,23,9,30.15,128.76,43.656,57.04,0,0,0,0,1.08909,0,0,0,0,0,0,0,0,1.25403,0,0,0,0,0,0,0,1.12744,0
18,12,20,34,0,13,40,14,14,7,22,22,21,13,36.15,55.5,54.06,125.24,0,0,0,1.52198,0.948265,0,0,0,0,0,0,0,0,1.29854,0,1.23243,1.52394,0,0,0,0,0,0
18,9,23,26,12,14,23,13,20,7,19,18,20,13,29,55.5,60.588,125.24,0,0,1.37439,1.70636,1.24344,0,0,0,0,0,0,1.30714,0,0,0,0,1.54152,0,0,0,0,1.60716,0
15,23,33,34,24,23,37,20,16,7,19,23,24,9,36.8,31.08,54.06,68.82,0,0,0,1.50174,0,0,0,0,0,0,0,1.18438,0,1.15864,0,0,0,0,0,0,0,0,1.2305
20,30,38,29,17,28,44,11,22,12,22,29,20,9,32.6,84.36,120.36,551.49,1.3112,3.15099,5.75671,13.6433,5.11373,2.2547,2.75471,2.98039,2.5119,1.70493,2.35705,2.71345,2.03771,5.14465,2.10106,2.07227,5.13827,0,3.16651,1.7037,2.35232,11.538,0
21,15,20,37,30,32,61,12,21,9,21,23,31,12,33.25,38.85,59.16,93.62,0,0,1.41442,1.41962,1.24424,0,0,0,0,0,0,0,1.41032,1.22668,0,0,0,0,0,1.35966,0,1.19315,0
14,22,21,23,18,18,82,14,14,5,20,22,23,10,36.4,42.18,39.78,60.76,0,0,0,0,1.01949,0,0,0,0,0,0,0,0,1.27335,0,0,0,0,0,0,0,0,0
10,15,19,54,23,23,89,11,15,6,22,18,25,9,21.5,45.51,74.46,49.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,20,27,59,22,11,66,18,14,6,23,22,24,13,35.05,57.72,54.06,139.5,0,0,0,0,1.03585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2235
12,8,18,59,13,18,52,11,15,5,15,22,27,9,24.5,37.74,51,69.44,0,0,1.24868,0,1.31415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1785,0
10,24,22,37,33,20,66,15,15,5,24,22,26,9,22.95,67.71,57.12,107.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,17,19,18,13,20,56,13,18,6,19,16,21,10,32.25,57.942,47.94,107.322,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27448,0,0,0,0,0,0,0,0,0
12,17,31,39,67,18,65,24,22,5,19,16,21,10,21.75,43.401,59.16,54.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26321,0,0,0,0,0,0,0,0,0
17,23,35,32,24,20,40,13,12,6,19,19,19,11,77.5,21.09,84.864,83.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,23,35,32,17,20,40,11,20,7,27,26,23,14,55.05,27.084,84.864,66.96,0,0,0,0,0,0,0,0,1.28058,0,0,0,1.27949,0,0,0,0,0,0,0,0,0,0
21,19,52,20,33,24,49,13,21,6,27,26,21,14,40.3,26.64,30.6,55.8,0,0,0,0,0,0,0,0,1.28058,0,0,0,1.27949,0,0,0,0,0,0,0,0,0,0
14,21,19,23,25,16,23,16,13,4,18,20,17,10,27.35,68.82,59.16,151.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,16,8,25,10,10,23,17,24,5,15,16,23,10,65.25,34.41,51,87.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,25,15,13,43,19,63,12,15,7,21,19,18,10,33.25,35.52,28.56,75.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,18,23,23,10,52,11,16,4,24,24,18,9,65.15,57.498,45.9,87.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,25,20,31,20,24,63,12,13,5,26,19,18,10,33.25,43.29,21.42,48.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,36,13,37,36,24,9,17,16,5,13,18,15,9,22,49.95,24.48,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,13,32,36,18,49,15,15,9,27,24,22,11,22.95,55.5,53.04,44.02,0,0,1.15664,1.15038,1.07206,0,0,0,0,0,0,1.29321,1.2292,0,0,0,1.28947,0,1.62895,1.30643,0,1.3023,0
16,28,24,45,32,24,61,11,19,12,21,27,32,13,34.7,54.39,60.486,67.27,1.28659,1.29188,1.01461,1.18932,1.06565,1.21656,0,1.3279,0,0,0,0,1.24739,0,0,1.09619,1.24214,2.89815,1.25851,0,0,0,0
16,6,10,16,13,14,44,10,16,5,17,16,24,13,41.35,75.258,62.22,94.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21374,0
13,32,33,26,25,9,35,13,17,5,20,16,18,14,29,75.147,84.66,119.226,0,0,0,1.11007,1.00952,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82297,0,0,0,0
12,10,44,21,19,20,56,15,12,11,16,15,23,11,27.5,59.94,84.66,92.38,0,0,0,1.29622,1.13552,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16223,0,0,0,0
23,26,27,30,92,18,73,21,15,13,27,25,23,20,33,59.496,170.136,258.044,0,2.38934,3.53401,7.492,5.45095,0,2.33474,1.90544,1.94672,3.10183,0,2.43023,1.70465,4.89208,1.84773,1.54157,2.8523,0,2.54645,1.8368,2.10409,5.39859,1.40533
23,26,27,25,92,18,73,21,15,13,38,23,21,11,33,64.38,170.136,389.98,0,2.38934,3.53401,7.492,5.45095,0,2.65273,1.90544,1.94672,3.10183,0,2.43023,1.45617,4.89208,1.84773,1.54157,2.8523,0,3.66168,1.92692,1.98653,5.39859,1.79029
12,19,17,22,15,11,75,9,11,6,23,18,24,13,33.7,33.3,63.24,69.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,34,19,54,38,16,28,6,13,5,21,21,21,11,33.05,54.39,65.484,13.02,0,0,0,0,0,0,0,0,1.2745,0,0,1.28419,0,0,0,0,0,0,0,0,0,1.20661,0
13,34,23,54,11,9,28,15,14,6,19,21,24,11,33.9,56.61,63.24,17.98,0,0,0,0,0,0,0,0,1.28605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,15,25,44,40,18,56,11,14,6,22,18,18,11,32.5,52.17,84.66,47.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,11,25,29,11,21,61,11,16,5,22,18,24,13,31.05,35.52,72.42,79.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,24,39,29,19,21,13,17,5,24,22,23,14,25.35,43.29,40.8,81.84,0,0,1.26108,1.21362,1.17227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22308,1.27486
17,21,24,23,39,20,49,13,22,7,22,23,26,8,25.7,33.189,54.06,17.36,0,0,0,0,1.23806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38907,0
11,22,14,29,39,11,42,13,14,6,19,23,23,9,25.1,49.284,46.92,35.96,1.2766,0,0,1.1868,1.11363,0,0,0,0,0,0,1.27178,0,1.05544,0,0,0,0,0,0,0,1.4341,1.14805
14,19,26,30,47,14,33,11,13,5,20,22,26,12,32.5,64.38,121.38,115.94,0,1.57488,1.83236,2.90414,2.43731,0,1.99356,0,1.81842,0,0,1.98572,0,1.64075,1.29142,1.30994,0,0,0,0,0,6.51908,1.16224
12,9,12,20,11,19,61,6,16,7,19,21,24,11,45.55,45.51,66.3,79.98,0,0,1.25981,0,1.17569,0,0,0,0,0,0,0,0,1.1373,0,0,0,0,0,0,0,0,1.12501
19,13,19,20,33,14,42,14,16,5,20,25,21,15,32.25,39.96,45.9,25.42,0,0,1.31046,1.98867,1.4081,0,0,0,0,1.54634,0,0,0,1.17484,1.15603,1.13401,0,0,0,0,0,2.18231,1.3676
16,21,15,20,19,18,28,14,14,10,22,22,21,8,41.5,54.39,24.48,79.98,0,0,1.25643,1.47652,1.13234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23646,0
14,15,18,10,18,15,63,9,15,5,23,20,24,13,41.45,52.17,80.58,65.72,0,0,1.23757,1.24192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20747,0
15,16,40,18,11,16,23,13,20,6,28,22,28,11,31.85,45.51,34.68,58.9,0,0,0,0,0,0,0,0,0,0,0,0,1.35975,0,0,0,1.35247,0,0,1.37146,0,1.15068,0
12,28,19,23,16,13,52,18,14,7,20,18,28,10,29.3,56.61,79.56,84.32,0,0,0,0,1.26196,0,0,0,1.25306,0,0,2.04097,0,1.21432,0,0,0,0,0,0,2.42783,0,1.22013
19,24,25,23,29,16,89,16,18,7,18,21,25,14,39.4,54.39,79.56,76.26,1.32211,0,0,0,1.05068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17,18,29,16,16,56,15,20,7,24,21,20,13,27.55,75.369,36.006,76.26,1.32211,0,0.969859,1.23188,1.11759,0,0,0,0,1.53643,0,1.21017,0,0.997416,1.17591,1.13919,0,0,0,0,0,1.1011,0
8,15,17,5,16,12,40,8,6,7,15,15,22,6,8.8,33.3,107.1,22.94,0,1.7452,1.92535,1.20954,2.18606,0,0,0,0,0,0,1.35057,1.28558,1.98769,1.19429,1.1547,1.34202,0,1.60625,0,1.80306,1.16608,0
9,18,7,11,16,14,11,11,17,8,15,18,17,8,18.7,24.42,114.444,55.18,1.1809,2.01739,1.55551,1.23923,1.53107,0,1.93597,0,0,0,0,0,1.19371,1.39089,0,0,0,0,0,0,0,1.18537,1.20472
14,48,13,25,32,24,33,31,15,9,19,27,21,13,39.05,57.72,115.26,133.3,0,0,0,0,1.14796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,11,32,22,29,15,70,14,24,12,22,21,17,10,39.55,47.73,40.8,63.24,0,0,1.65989,1.4905,1.41958,0,0,0,0,0,0,1.36209,0,1.2657,0,0,0,0,0,0,0,1.2592,1.24857
21,13,29,22,29,22,70,15,17,12,24,24,23,10,42.45,47.73,83.436,79.98,0,0,1.40211,1.4905,1.41958,0,0,0,0,0,0,1.35173,0,1.2657,0,0,0,0,1.56102,0,0,1.31378,1.24857
21,13,27,37,42,25,59,15,15,12,20,25,23,9,42.45,42.18,83.436,110.98,0,0,1.60894,2.13341,1.71766,0,0,0,0,0,0,1.38437,1.27707,1.35601,0,0,1.35764,0,1.7359,0,1.99458,1.57161,1.25728
19,18,26,5,36,18,33,15,22,12,26,30,20,15,32,58.497,61.2,66.34,1.24419,1.63312,1.40961,1.28189,1.12469,1.61791,0,0,0,0,0,0,1.42347,1.30465,0,0,1.42243,0,1.66494,0,1.83291,1.31541,0
16,18,14,53,53,10,80,14,17,9,20,20,22,10,42,37.74,78.948,112.22,0,2.31632,3.45694,3.18795,3.75212,1.90527,2.50108,0,1.36466,1.84209,0,2.32113,1.29829,1.87721,1.21011,1.33783,1.44034,0,2.19551,0,3.56754,2.89355,1.64323
15,16,15,40,33,28,61,12,15,7,18,22,22,12,42.25,66.933,31.62,133.3,0,0,0,0,0,0,1.78998,0,0,0,0,1.28833,0,0,0,0,0,0,0,0,0,0,0
18,45,34,13,26,12,31,21,13,14,25,24,31,11,34,96.015,176.46,185.38,0,2.5475,2.60511,2.51971,3.28338,0,2.46228,0,1.56951,2.08326,0,1.26345,1.38741,3.17891,1.26674,1.30486,1.35409,0,1.92316,1.64356,0,3.2062,1.35129
11,1,36,10,12,9,61,9,9,9,15,21,17,14,5.8,65.49,6.12,76.446,0,2.5475,2.68188,2.51971,3.18611,0,2.46228,0,1.5292,1.7784,0,1.18376,1.41446,3.26983,1.29554,1.15433,1.41938,0,1.9891,1.08769,0,3.11795,1.26931
21,21,20,35,17,18,106,15,18,9,21,22,25,12,39.7,70.485,82.62,81.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,11,25,27,24,13,4,10,17,9,20,21,23,14,29.1,35.52,89.76,47.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,22,25,27,17,20,67,10,13,9,20,18,26,14,41.6,32.19,57.12,78.616,0,1.33641,1.21172,0,1.25131,0,0,0,0,0,0,1.90849,0,0,0,1.15441,0,0,0,0,0,1.27221,1.23151
20,22,31,32,35,20,67,13,20,10,20,24,24,11,39.7,56.055,99.96,86.8,0,1.94767,1.51003,1.26707,1.28146,0,0,0,0,0,0,1.90849,0,1.32348,0,1.20284,0,0,0,0,0,1.44223,1.28279
18,26,31,31,22,15,49,16,21,10,20,31,23,13,41.25,57.72,65.28,115.32,0,3.43389,1.74683,1.26707,1.66602,0,2.10366,0,1.29433,1.8851,0,1.96093,0,1.27649,0,0,0,0,0,0,0,1.55767,0
13,17,19,31,15,11,63,14,16,8,16,25,22,10,29.4,61.383,61.2,125.24,0,3.43389,1.74683,1.34513,2.28201,0,2.72185,0,1.38317,1.8851,0,1.92684,0,1.28257,0,0,0,0,0,0,1.76491,1.57836,1.15108
17,16,31,42,22,17,47,16,17,10,23,24,23,10,40.95,68.82,121.584,99.82,1.43606,3.61671,5.43237,2.62185,4.8558,0,2.72185,1.62766,1.97486,1.54704,0,3.19199,0,2.14455,1.28603,1.22407,1.7646,0,3.40268,0,2.6415,4.11382,1.29862
13,19,14,39,36,12,61,13,14,7,24,23,29,11,32,78.81,59.058,50.84,0,0,0,0,1.15129,0,0,0,0,0,0,0,1.30511,0,0,0,0,0,0,0,0,0,0
16,19,12,30,23,12,37,10,18,7,22,24,19,10,29.4,62.826,66.3,50.22,1.14239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16437,0,0,0,0,0,0,0
15,25,25,18,19,10,40,23,19,11,24,22,25,10,36.25,62.826,93.84,63.86,0,1.50014,1.23166,1.2274,1.34226,0,0,1.59778,0,1.61256,0,0,0,0,0,0,0,0,1.85752,0,0,1.27045,0
20,12,9,36,39,12,54,7,22,8,21,23,26,11,36.7,47.73,81.396,35.96,0,1.18087,1.10128,0,1.37008,0,0,0,0,1.3076,0,0,0,1.37943,0,0,0,0,0,0,0,1.17428,0
12,4,24,22,27,16,49,10,20,5,17,18,24,10,36.7,55.5,37.74,140.74,0,0,0,0,1.04481,0,0,0,0,0,0,1.37788,0,0,0,0,0,0,0,0,0,0,0
10,9,24,40,22,42,82,14,14,8,26,20,25,10,31.25,65.49,59.16,127.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20614,0
10,14,25,45,38,15,29,13,11,6,22,17,24,10,31.15,44.4,58.14,85.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20901,0
15,17,21,49,17,19,40,12,17,6,19,17,23,11,35.8,44.4,58.14,84.94,0,0,0,0,1.03655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02975,0
23,32,9,21,19,20,61,16,18,7,24,20,21,10,47.65,62.16,88.74,87.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,13,13,23,15,12,61,13,18,7,24,22,26,14,28.9,62.16,41.82,63.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,15,14,23,25,13,40,12,15,6,25,22,34,11,30.6,44.4,64.26,110.98,0,0,0,0,1.05764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77276,0
18,22,15,23,37,13,44,19,18,7,24,26,27,10,34.35,44.4,58.14,8.06,0,0,0,0,1.08647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77276,0
13,22,17,32,35,31,52,19,21,7,19,24,27,12,36,48.84,32.64,53.94,0,0,0,0,1.09158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,20,18,23,18,20,70,16,15,8,26,26,23,10,31.4,37.74,63.24,56.42,0,0,1.33532,0,1.09171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,13,20,23,22,19,63,17,19,6,25,26,29,10,38.85,36.63,45.9,52.7,0,0,0,0,0.999226,0,0,0,1.05566,0,0,0,0,0,0,0,0,0,0,0,0,1.97509,0
